34220.3,34220.4,34220.350000000006,0.09999999999854481,,0.0,,1627171530.8414211,PERPETUAL,,BTC-USD-PERPETUAL,Binance COIN-M
34231.5,34232.0,34231.75,0.5,-0.000251,0.0,892143800.0,1627171531.143444,PERPETUAL,,BTC-USD-PERPETUAL,BitMEX
34488.5,34494.0,34491.25,5.5,,0.0076,14465000.0,1627171531.143444,QUARTER,092121,BTC-USD-092121,BitMEX
35236.0,35263.5,35249.75,27.5,,0.0297,13491700.0,1627171531.143444,SEMIANNUAL,122121,BTC-USD-122121,BitMEX
34236.5,34254.0,34245.25,17.5,-2.59550192e-10,0.0,84254443.0,1627171546.33831,PERPETUAL,,BTC-USD-PERPETUAL,Kraken Futures
34420.5,34452.5,34436.5,32.0,,0.0056,4888809.0,1627171546.33831,QUARTER,210924,BTC-USD-210924,Kraken Futures
35197.0,35252.5,35224.75,55.5,,0.0286,2380491.0,1627171546.33831,SEMIANNUAL,211231,BTC-USD-211231,Kraken Futures
34234.0,34264.5,34249.25,30.5,,0.0001,4568846.0,1627171546.33831,MONTH,210730,BTC-USD-210730,Kraken Futures
34253.0,34254.0,34253.5,1.0,,0.0,1661230694.5239,1627171546.4193778,PERPETUAL,,BTC-USD-PERPETUAL,FTX Futures
34787.0,34793.0,34790.0,6.0,,0.0157,145792887.4092,1627171546.4193778,QUARTER,210924,BTC-USD-210924,FTX Futures
35632.0,35633.0,35632.5,1.0,,0.0403,105131512.5352,1627171546.4193778,SEMIANNUAL,211231,BTC-USD-211231,FTX Futures
35218.0,35218.1,35218.05,0.09999999999854481,,0.0293,,1627171546.817898,SEMIANNUAL,211231,BTC-USD-211231,Binance COIN-M
34433.5,34433.6,34433.55,0.09999999999854481,,0.0063,,1627171546.817898,QUARTER,210924,BTC-USD-210924,Binance COIN-M
34216.9,34217.0,34216.95,0.09999999999854481,,0.0,,1627171546.817898,PERPETUAL,,BTC-USD-PERPETUAL,Binance COIN-M
34224.0,34224.5,34224.25,0.5,-0.000251,0.0,891816600.0,1627171547.1426802,PERPETUAL,,BTC-USD-PERPETUAL,BitMEX
34485.0,34485.5,34485.25,0.5,,0.0076,14463500.0,1627171547.1426802,QUARTER,092121,BTC-USD-092121,BitMEX
35220.5,35235.5,35228.0,15.0,,0.0293,13497600.0,1627171547.1426802,SEMIANNUAL,122121,BTC-USD-122121,BitMEX
