price,premium,24h_volume,timestamp,type,expiry,symbol,exchange
66112.75,0.0083,2988304.0,1636350887.881198,MONTH,211126,BTC-USD-211126,Kraken Futures
65616.25,0.0,148457990.0,1636350950.7933557,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67287.25,0.0255,8836049.0,1636350950.7933557,QUARTER,211231,BTC-USD-211231,Kraken Futures
68784.0,0.0483,1183992.0,1636350950.7933557,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66172.0,0.0085,2988304.0,1636350950.7933557,MONTH,211126,BTC-USD-211126,Kraken Futures
65561.5,0.0,148411899.0,1636351016.2491312,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67256.25,0.0258,8836049.0,1636351016.2491312,QUARTER,211231,BTC-USD-211231,Kraken Futures
68741.75,0.0485,1183992.0,1636351016.2491312,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66130.75,0.0087,2988304.0,1636351016.2491312,MONTH,211126,BTC-USD-211126,Kraken Futures
65613.0,0.0,148339313.0,1636351081.6651185,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67280.75,0.0254,8836049.0,1636351081.6651185,QUARTER,211231,BTC-USD-211231,Kraken Futures
68774.0,0.0482,1183992.0,1636351081.6651185,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66168.0,0.0085,2988304.0,1636351081.6651185,MONTH,211126,BTC-USD-211126,Kraken Futures
65592.0,0.0,148422404.0,1636351146.6090214,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67267.25,0.0255,8836049.0,1636351146.6090214,QUARTER,211231,BTC-USD-211231,Kraken Futures
68753.75,0.0482,1183992.0,1636351146.6090214,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66151.25,0.0085,2988304.0,1636351146.6090214,MONTH,211126,BTC-USD-211126,Kraken Futures
65513.5,0.0,148853923.0,1636351210.5690844,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67208.0,0.0259,8836049.0,1636351210.5690844,QUARTER,211231,BTC-USD-211231,Kraken Futures
68689.0,0.0485,1185882.0,1636351210.5690844,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66093.5,0.0089,2988304.0,1636351210.5690844,MONTH,211126,BTC-USD-211126,Kraken Futures
65503.75,0.0,148891438.0,1636351274.0809698,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67166.75,0.0254,8856049.0,1636351274.0809698,QUARTER,211231,BTC-USD-211231,Kraken Futures
68648.75,0.048,1185882.0,1636351274.0809698,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66062.0,0.0085,2988304.0,1636351274.0809698,MONTH,211126,BTC-USD-211126,Kraken Futures
65486.0,0.0,148909087.0,1636351340.505,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67172.75,0.0258,8856049.0,1636351340.505,QUARTER,211231,BTC-USD-211231,Kraken Futures
68651.5,0.0483,1185882.0,1636351340.505,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66064.5,0.0088,2988304.0,1636351340.505,MONTH,211126,BTC-USD-211126,Kraken Futures
65443.75,0.0,148915155.0,1636351404.1291392,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67144.0,0.026,8856049.0,1636351404.1291392,QUARTER,211231,BTC-USD-211231,Kraken Futures
68614.0,0.0484,1185882.0,1636351404.1291392,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66018.0,0.0088,2988304.0,1636351404.1291392,MONTH,211126,BTC-USD-211126,Kraken Futures
65436.75,0.0,148918902.0,1636351469.4889774,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67140.25,0.026,8858006.0,1636351469.4889774,QUARTER,211231,BTC-USD-211231,Kraken Futures
68617.0,0.0486,1185882.0,1636351469.4889774,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66025.25,0.009,2988304.0,1636351469.4889774,MONTH,211126,BTC-USD-211126,Kraken Futures
65505.75,0.0,148917700.0,1636351532.3607202,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67163.75,0.0253,8858006.0,1636351532.3607202,QUARTER,211231,BTC-USD-211231,Kraken Futures
68647.25,0.048,1185882.0,1636351532.3607202,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66055.75,0.0084,2988304.0,1636351532.3607202,MONTH,211126,BTC-USD-211126,Kraken Futures
65558.5,0.0,148968539.0,1636351595.761206,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67245.5,0.0257,8858006.0,1636351595.761206,QUARTER,211231,BTC-USD-211231,Kraken Futures
68730.5,0.0484,1185882.0,1636351595.761206,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66126.25,0.0087,2988304.0,1636351595.761206,MONTH,211126,BTC-USD-211126,Kraken Futures
65651.0,0.0,149103017.0,1636351658.961074,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67321.5,0.0254,8858006.0,1636351658.961074,QUARTER,211231,BTC-USD-211231,Kraken Futures
68799.75,0.048,1185882.0,1636351658.961074,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66209.5,0.0085,2988304.0,1636351658.961074,MONTH,211126,BTC-USD-211126,Kraken Futures
65666.75,0.0,149457480.0,1636351724.3210816,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67347.25,0.0256,8862054.0,1636351724.3210816,QUARTER,211231,BTC-USD-211231,Kraken Futures
68828.5,0.0481,1187769.0,1636351724.3210816,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66229.5,0.0086,2988304.0,1636351724.3210816,MONTH,211126,BTC-USD-211126,Kraken Futures
65707.5,0.0,149685780.0,1636351789.1210942,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67393.0,0.0257,8884277.0,1636351789.1210942,QUARTER,211231,BTC-USD-211231,Kraken Futures
68882.25,0.0483,1188945.0,1636351789.1210942,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66279.0,0.0087,2988144.0,1636351789.1210942,MONTH,211126,BTC-USD-211126,Kraken Futures
65747.75,0.0,149688629.0,1636351854.1210985,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67460.0,0.026,8886742.0,1636351854.1210985,QUARTER,211231,BTC-USD-211231,Kraken Futures
68946.25,0.0486,1188945.0,1636351854.1210985,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66335.5,0.0089,2988144.0,1636351854.1210985,MONTH,211126,BTC-USD-211126,Kraken Futures
65808.5,0.0,149966431.0,1636351917.017081,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67509.75,0.0259,8886742.0,1636351917.017081,QUARTER,211231,BTC-USD-211231,Kraken Futures
68977.75,0.0482,1189945.0,1636351917.017081,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66384.0,0.0087,2988144.0,1636351917.017081,MONTH,211126,BTC-USD-211126,Kraken Futures
65851.0,0.0,150175132.0,1636351979.829014,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67547.0,0.0258,8886742.0,1636351979.829014,QUARTER,211231,BTC-USD-211231,Kraken Futures
69069.75,0.0489,1209006.0,1636351979.829014,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66424.5,0.0087,2988144.0,1636351979.829014,MONTH,211126,BTC-USD-211126,Kraken Futures
65828.5,0.0,150809722.0,1636352043.3130083,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67536.75,0.026,8886742.0,1636352043.3130083,QUARTER,211231,BTC-USD-211231,Kraken Futures
69036.5,0.0487,1210007.0,1636352043.3130083,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66409.0,0.0088,2988144.0,1636352043.3130083,MONTH,211126,BTC-USD-211126,Kraken Futures
65756.75,0.0,150967400.0,1636352107.7771084,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67477.75,0.0262,8888382.0,1636352107.7771084,QUARTER,211231,BTC-USD-211231,Kraken Futures
68968.75,0.0488,1210007.0,1636352107.7771084,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66344.0,0.0089,2988144.0,1636352107.7771084,MONTH,211126,BTC-USD-211126,Kraken Futures
65744.5,0.0,150951880.0,1636352174.3129754,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67444.0,0.0259,8888382.0,1636352174.3129754,QUARTER,211231,BTC-USD-211231,Kraken Futures
68950.5,0.0488,1210007.0,1636352174.3129754,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66320.25,0.0088,2988144.0,1636352174.3129754,MONTH,211126,BTC-USD-211126,Kraken Futures
65959.25,0.0,151662882.0,1636352237.4040463,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67632.25,0.0254,8940747.0,1636352237.4040463,QUARTER,211231,BTC-USD-211231,Kraken Futures
69144.0,0.0483,1210902.0,1636352237.4040463,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66509.5,0.0083,2999144.0,1636352237.4040463,MONTH,211126,BTC-USD-211126,Kraken Futures
65922.0,0.0,152042310.0,1636352300.7770195,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67615.5,0.0257,8972197.0,1636352300.7770195,QUARTER,211231,BTC-USD-211231,Kraken Futures
69112.75,0.0484,1210902.0,1636352300.7770195,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66462.75,0.0082,3004619.0,1636352300.7770195,MONTH,211126,BTC-USD-211126,Kraken Futures
65975.75,0.0,152330908.0,1636352363.6730027,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67669.5,0.0257,8976304.0,1636352363.6730027,QUARTER,211231,BTC-USD-211231,Kraken Futures
69200.0,0.0489,1221026.0,1636352363.6730027,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66550.25,0.0087,3006312.0,1636352363.6730027,MONTH,211126,BTC-USD-211126,Kraken Futures
65952.0,0.0,152379984.0,1636352426.5690954,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67670.75,0.0261,8976304.0,1636352426.5690954,QUARTER,211231,BTC-USD-211231,Kraken Futures
69175.75,0.0489,1220126.0,1636352426.5690954,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66526.25,0.0087,3006312.0,1636352426.5690954,MONTH,211126,BTC-USD-211126,Kraken Futures
65969.75,0.0,152444546.0,1636352489.577217,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67681.0,0.0259,8980586.0,1636352489.577217,QUARTER,211231,BTC-USD-211231,Kraken Futures
69184.5,0.0487,1220126.0,1636352489.577217,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66542.0,0.0087,3006312.0,1636352489.577217,MONTH,211126,BTC-USD-211126,Kraken Futures
66010.25,0.0,152481956.0,1636352552.7529182,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67689.75,0.0254,8986426.0,1636352552.7529182,QUARTER,211231,BTC-USD-211231,Kraken Futures
69205.0,0.0484,1220126.0,1636352552.7529182,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66568.5,0.0085,3006312.0,1636352552.7529182,MONTH,211126,BTC-USD-211126,Kraken Futures
66062.75,0.0,153115073.0,1636352615.6491146,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67759.75,0.0257,9257460.0,1636352615.6491146,QUARTER,211231,BTC-USD-211231,Kraken Futures
69259.25,0.0484,1220126.0,1636352615.6491146,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66626.75,0.0085,3022325.0,1636352615.6491146,MONTH,211126,BTC-USD-211126,Kraken Futures
66202.75,0.0,153852519.0,1636352680.234871,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67881.25,0.0254,9329629.0,1636352680.234871,QUARTER,211231,BTC-USD-211231,Kraken Futures
69383.0,0.048,1255498.0,1636352680.234871,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66784.0,0.0088,3026186.0,1636352680.234871,MONTH,211126,BTC-USD-211126,Kraken Futures
66104.0,0.0,154543091.0,1636352744.6089888,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67802.0,0.0257,9339552.0,1636352744.6089888,QUARTER,211231,BTC-USD-211231,Kraken Futures
69300.0,0.0483,1258698.0,1636352744.6089888,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66685.0,0.0088,3027186.0,1636352744.6089888,MONTH,211126,BTC-USD-211126,Kraken Futures
66064.75,0.0,155529499.0,1636352808.7371182,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67754.75,0.0256,9340227.0,1636352808.7371182,QUARTER,211231,BTC-USD-211231,Kraken Futures
69231.75,0.0479,1258698.0,1636352808.7371182,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66635.5,0.0086,3028186.0,1636352808.7371182,MONTH,211126,BTC-USD-211126,Kraken Futures
66016.5,0.0,155818864.0,1636352873.8730135,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67703.5,0.0256,9340452.0,1636352873.8730135,QUARTER,211231,BTC-USD-211231,Kraken Futures
69183.75,0.048,1259498.0,1636352873.8730135,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66583.0,0.0086,3028186.0,1636352873.8730135,MONTH,211126,BTC-USD-211126,Kraken Futures
66084.0,0.0,156011257.0,1636352938.457218,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67797.0,0.0259,9340677.0,1636352938.457218,QUARTER,211231,BTC-USD-211231,Kraken Futures
69306.0,0.0488,1260798.0,1636352938.457218,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66663.5,0.0088,3028186.0,1636352938.457218,MONTH,211126,BTC-USD-211126,Kraken Futures
66083.75,0.0,156055792.0,1636353001.6251695,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67774.5,0.0256,9341127.0,1636353001.6251695,QUARTER,211231,BTC-USD-211231,Kraken Futures
69273.75,0.0483,1260798.0,1636353001.6251695,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66658.0,0.0087,3028186.0,1636353001.6251695,MONTH,211126,BTC-USD-211126,Kraken Futures
66163.75,0.0,156087963.0,1636353066.6490705,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67866.5,0.0257,9341577.0,1636353066.6490705,QUARTER,211231,BTC-USD-211231,Kraken Futures
69376.25,0.0486,1258909.0,1636353066.6490705,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66742.25,0.0087,3028186.0,1636353066.6490705,MONTH,211126,BTC-USD-211126,Kraken Futures
66115.25,0.0,156633391.0,1636353130.127269,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
